Norilsk;772;Boeing 770
Vladivostok;709;Boeing770
rostov-on-Don;646;SukhoiSuperJet
Tyumen;518;Boeing707
budapesht;337;Boeing770
astana;838;A320
astana;503;SukhoiSuperJet
astana;151;Boeing770
rostov-on-Don;620;Boeing770
astana;517;SukhoiSuperJet
toronto;605;Boeing770
tokyo;703;Boeing770
krasnoyrarsk;471;A320
budapesht;179;SukhoiSuperJet
toronto;301;Boeing707
Vladivostok;991;SukhoiSuperJet
budapesht;945;Boeing707
krasnoyrarsk;102;Boeing770
krasnoyrarsk;278;Boeing707
london;736;SukhoiSuperJet
tokyo;595;A320
Tyumen;408;Boeing770
astana;110;A320
Saint-Peterburg;999;A320
berlin;446;Boeing770
krasnoyrarsk;715;A320
Tyumen;766;A320
Saint-Peterburg;787;Boeing707
krasnoyrarsk;864;SukhoiSuperJet
tokyo;871;SukhoiSuperJet
budapesht;734;Boeing770
berlin;257;Boeing707
Vladivostok;240;Boeing770
Tyumen;219;Boeing770
rostov-on-Don;929;SukhoiSuperJet
rostov-on-Don;856;Boeing707
astana;569;Boeing707
moscow;394;Boeing770
Saint-Peterburg;149;SukhoiSuperJet
Tyumen;856;Boeing770
atlanta;492;A320
astana;643;A320
stockholm;391;SukhoiSuperJet
Saint-Peterburg;613;Boeing707
Tyumen;998;Boeing707
Saint-Peterburg;474;SukhoiSuperJet
berlin;960;A320
toronto;251;SukhoiSuperJet
budapesht;781;SukhoiSuperJet
krasnoyrarsk;885;Boeing707
krasnoyrarsk;576;A320
Saint-Peterburg;759;Boeing707
Vladivostok;282;A320
astana;761;Boeing707
krasnoyrarsk;509;SukhoiSuperJet
london;830;Boeing707
london;778;Boeing707
kerch;194;Boeing770
rostov-on-Don;887;Boeing707
berlin;219;A320
artem;180;SukhoiSuperJet
Vladivostok;381;Boeing707
artem;156;SukhoiSuperJet
Tyumen;731;Boeing770
Saint-Peterburg;841;Boeing770
krasnoyrarsk;783;Boeing770
moscow;602;Boeing707
stockholm;332;Boeing707
moscow;968;Boeing707
Vladivostok;961;Boeing770
Saint-Peterburg;766;SukhoiSuperJet
Tyumen;148;Boeing770
stockholm;471;Boeing770
rostov-on-Don;300;SukhoiSuperJet
Vladivostok;355;SukhoiSuperJet
astana;349;A320
atlanta;965;SukhoiSuperJet
tokyo;125;SukhoiSuperJet
moscow;421;Boeing707
moscow;907;Boeing770
Tyumen;895;Boeing707
atlanta;927;A320
tokyo;754;SukhoiSuperJet
kerch;439;SukhoiSuperJet
astana;639;Boeing707
moscow;469;SukhoiSuperJet
kerch;899;A320
artem;773;Boeing707
Tyumen;547;SukhoiSuperJet
budapesht;146;Boeing770
berlin;830;A320
tokyo;142;Boeing770
Tyumen;798;Boeing707
rostov-on-Don;170;SukhoiSuperJet
moscow;364;SukhoiSuperJet
london;524;Boeing707
krasnoyrarsk;197;Boeing707
krasnoyrarsk;316;Boeing770
Saint-Peterburg;759;A320
budapesht;234;Boeing707
budapesht;551;SukhoiSuperJet
toronto;397;Boeing770
stockholm;303;SukhoiSuperJet
toronto;367;SukhoiSuperJet
london;777;Boeing770
astana;638;A320
krasnoyrarsk;671;A320
Vladivostok;513;SukhoiSuperJet
stockholm;145;Boeing770
krasnoyrarsk;392;Boeing707
Tyumen;121;Boeing707
Saint-Peterburg;732;A320
atlanta;644;Boeing707
london;892;Boeing707
astana;608;Boeing707
astana;198;Boeing770
moscow;385;SukhoiSuperJet
krasnoyrarsk;167;SukhoiSuperJet
berlin;400;A320
Tyumen;166;A320
Vladivostok;269;Boeing707
artem;368;Boeing770
Vladivostok;387;Boeing707
Tyumen;577;A320
stockholm;803;SukhoiSuperJet
toronto;353;SukhoiSuperJet
atlanta;390;Boeing707
budapesht;776;Boeing770
Tyumen;214;SukhoiSuperJet
atlanta;945;Boeing770
stockholm;475;SukhoiSuperJet
Tyumen;753;Boeing770
atlanta;663;SukhoiSuperJet
kerch;609;Boeing707
london;849;Boeing770
Tyumen;805;Boeing707
artem;912;Boeing707
astana;396;A320
kerch;943;A320
kerch;243;A320
artem;317;SukhoiSuperJet
Vladivostok;131;SukhoiSuperJet
stockholm;244;Boeing770
london;823;SukhoiSuperJet
artem;266;Boeing770
Vladivostok;300;Boeing770
Vladivostok;135;A320
moscow;512;Boeing707
Saint-Peterburg;981;SukhoiSuperJet
atlanta;399;Boeing707
artem;549;A320
artem;293;A320
astana;176;Boeing707
krasnoyrarsk;508;SukhoiSuperJet
Vladivostok;220;Boeing707
Tyumen;988;SukhoiSuperJet
stockholm;163;A320
astana;298;Boeing707
atlanta;572;SukhoiSuperJet
rostov-on-Don;277;Boeing707
toronto;481;Boeing707
tokyo;750;Boeing707
astana;839;A320
tokyo;756;A320
rostov-on-Don;274;Boeing770
artem;257;SukhoiSuperJet
kerch;510;SukhoiSuperJet
tokyo;886;Boeing770
rostov-on-Don;414;Boeing707
krasnoyrarsk;804;SukhoiSuperJet
Tyumen;889;A320
Saint-Peterburg;219;A320
moscow;986;SukhoiSuperJet
moscow;811;A320
moscow;684;A320
london;922;Boeing707
berlin;361;A320
rostov-on-Don;991;SukhoiSuperJet
moscow;461;Boeing770
Saint-Peterburg;203;A320
toronto;249;Boeing770
artem;664;A320
toronto;676;Boeing770
moscow;317;Boeing707
astana;793;Boeing707
astana;362;SukhoiSuperJet
krasnoyrarsk;127;Boeing707
atlanta;193;SukhoiSuperJet
astana;766;SukhoiSuperJet
Vladivostok;364;A320
kerch;842;SukhoiSuperJet
astana;428;A320
Tyumen;729;A320
toronto;156;Boeing770
budapesht;608;Boeing770
berlin;619;A320
moscow;891;Boeing770
Tyumen;570;Boeing707
rostov-on-Don;150;Boeing770
kerch;598;A320
krasnoyrarsk;842;A320
Vladivostok;266;A320
astana;111;Boeing707
london;946;Boeing707
Tyumen;680;Boeing770
stockholm;879;A320
tokyo;412;SukhoiSuperJet
london;804;Boeing707
krasnoyrarsk;153;Boeing770
rostov-on-Don;823;Boeing770
toronto;464;Boeing707
tokyo;257;SukhoiSuperJet
moscow;466;SukhoiSuperJet
tokyo;569;Boeing770
london;335;Boeing770
krasnoyrarsk;477;A320
kerch;544;A320
krasnoyrarsk;475;Boeing707
rostov-on-Don;414;Boeing770
artem;946;Boeing707
budapesht;317;Boeing770
krasnoyrarsk;980;Boeing770
kerch;444;Boeing770
krasnoyrarsk;560;A320
moscow;959;A320
Saint-Peterburg;246;SukhoiSuperJet
berlin;233;Boeing707
kerch;334;A320
stockholm;254;Boeing707
moscow;559;Boeing770
berlin;504;Boeing707
rostov-on-Don;707;A320
rostov-on-Don;583;Boeing770
london;212;Boeing770
artem;912;Boeing770
atlanta;404;Boeing770
Tyumen;600;SukhoiSuperJet
artem;516;SukhoiSuperJet
berlin;670;A320
Saint-Peterburg;553;Boeing707
toronto;259;Boeing770
berlin;642;Boeing770
artem;445;Boeing770
toronto;389;Boeing770
stockholm;241;Boeing707
astana;929;SukhoiSuperJet
toronto;253;SukhoiSuperJet
berlin;538;SukhoiSuperJet
rostov-on-Don;765;A320
Saint-Peterburg;979;A320
krasnoyrarsk;491;Boeing707
london;565;Boeing707
krasnoyrarsk;624;Boeing770
toronto;767;Boeing770
rostov-on-Don;343;A320
Vladivostok;433;Boeing707
Saint-Peterburg;279;Boeing707
london;804;A320
krasnoyrarsk;447;Boeing770
atlanta;919;Boeing770
Vladivostok;657;SukhoiSuperJet
Tyumen;651;Boeing707
Tyumen;121;Boeing770
stockholm;987;Boeing770
krasnoyrarsk;481;Boeing770
london;607;SukhoiSuperJet
Saint-Peterburg;493;Boeing770
tokyo;478;A320
krasnoyrarsk;391;SukhoiSuperJet
stockholm;392;Boeing770
astana;689;Boeing770
astana;180;A320
Tyumen;694;SukhoiSuperJet
london;232;Boeing707
berlin;897;Boeing707
stockholm;743;Boeing707
toronto;146;Boeing770
Tyumen;801;Boeing707
london;613;Boeing770
tokyo;747;SukhoiSuperJet
tokyo;115;SukhoiSuperJet
kerch;819;Boeing770
artem;876;Boeing707
Saint-Peterburg;528;Boeing707
Saint-Peterburg;674;SukhoiSuperJet
atlanta;199;Boeing707
krasnoyrarsk;156;SukhoiSuperJet
Tyumen;571;Boeing770
rostov-on-Don;396;Boeing707
rostov-on-Don;303;A320
stockholm;180;Boeing770
krasnoyrarsk;311;Boeing707
astana;459;Boeing707
tokyo;946;Boeing770
astana;451;SukhoiSuperJet
tokyo;179;Boeing707
stockholm;988;A320
toronto;382;Boeing707
atlanta;345;Boeing707
tokyo;648;Boeing770
atlanta;181;SukhoiSuperJet
stockholm;495;Boeing707
budapesht;841;SukhoiSuperJet
Saint-Peterburg;495;A320
rostov-on-Don;831;SukhoiSuperJet
london;812;A320
astana;891;Boeing770
toronto;290;SukhoiSuperJet
kerch;532;SukhoiSuperJet
Vladivostok;150;SukhoiSuperJet
Tyumen;727;SukhoiSuperJet
stockholm;466;SukhoiSuperJet
tokyo;680;SukhoiSuperJet
berlin;462;SukhoiSuperJet
berlin;210;SukhoiSuperJet
artem;409;Boeing707
artem;503;Boeing707
artem;579;A320
Saint-Peterburg;511;Boeing770
artem;229;A320
london;858;SukhoiSuperJet
Saint-Peterburg;977;Boeing770
budapesht;763;A320
Saint-Peterburg;733;Boeing770
Vladivostok;379;A320
Vladivostok;380;A320
moscow;810;Boeing770
Tyumen;835;Boeing707
Tyumen;293;A320
london;877;Boeing707
kerch;592;Boeing770
rostov-on-Don;405;Boeing707
astana;457;Boeing770
Saint-Peterburg;916;Boeing770
moscow;964;Boeing707
kerch;382;Boeing770
atlanta;148;Boeing707
berlin;413;SukhoiSuperJet
astana;272;A320
Saint-Peterburg;996;SukhoiSuperJet
Vladivostok;501;SukhoiSuperJet
Saint-Peterburg;712;Boeing770
toronto;632;A320
Saint-Peterburg;851;SukhoiSuperJet
krasnoyrarsk;694;Boeing770
budapesht;252;SukhoiSuperJet
berlin;279;Boeing707
astana;594;Boeing770
tokyo;914;Boeing707
artem;795;Boeing707
toronto;734;Boeing770
atlanta;845;A320
atlanta;499;Boeing770
Vladivostok;916;Boeing707
Saint-Peterburg;696;A320
rostov-on-Don;221;SukhoiSuperJet
kerch;541;Boeing770
rostov-on-Don;261;A320
berlin;126;Boeing770
kerch;200;Boeing770
krasnoyrarsk;334;Boeing770
atlanta;819;Boeing770
atlanta;831;SukhoiSuperJet
london;577;A320
london;639;SukhoiSuperJet
london;155;A320
Tyumen;206;Boeing770
stockholm;124;A320
astana;230;Boeing770
Saint-Peterburg;899;Boeing770
Vladivostok;360;Boeing707
budapesht;119;SukhoiSuperJet
krasnoyrarsk;339;SukhoiSuperJet
Vladivostok;674;Boeing770
moscow;629;Boeing770
Vladivostok;912;A320
Tyumen;361;Boeing770
Tyumen;745;Boeing707
atlanta;277;Boeing770
artem;420;Boeing707
rostov-on-Don;278;A320
krasnoyrarsk;179;Boeing770
rostov-on-Don;663;Boeing707
toronto;232;SukhoiSuperJet
moscow;523;SukhoiSuperJet
atlanta;120;SukhoiSuperJet
moscow;110;Boeing707
artem;392;A320
rostov-on-Don;453;SukhoiSuperJet
Tyumen;136;A320
stockholm;844;Boeing707
moscow;149;Boeing770
toronto;764;SukhoiSuperJet
Saint-Peterburg;630;Boeing707
astana;530;SukhoiSuperJet
krasnoyrarsk;757;SukhoiSuperJet
Saint-Peterburg;380;SukhoiSuperJet
budapesht;749;Boeing707
Saint-Peterburg;830;Boeing707
stockholm;746;Boeing707
london;991;A320
Tyumen;566;SukhoiSuperJet
Tyumen;379;A320
moscow;300;Boeing770
Tyumen;651;Boeing770
budapesht;613;SukhoiSuperJet
Vladivostok;720;SukhoiSuperJet
toronto;131;SukhoiSuperJet
toronto;936;SukhoiSuperJet
rostov-on-Don;598;Boeing770
artem;476;SukhoiSuperJet
artem;143;SukhoiSuperJet
Tyumen;757;Boeing707
Tyumen;699;SukhoiSuperJet
stockholm;232;A320
Vladivostok;852;Boeing707
moscow;577;SukhoiSuperJet
london;630;SukhoiSuperJet
berlin;489;Boeing707
berlin;835;Boeing770
rostov-on-Don;514;Boeing770
krasnoyrarsk;820;Boeing770
rostov-on-Don;739;SukhoiSuperJet
stockholm;561;Boeing770
